,mean_state_salary,home_city_code,education,published_date,schedule_type,experience,salary,professional_skills,add_skills,busy_type,business_trip,retraining_capability,fullness_rate,n_jobs,additionalEducationList,english_level
387,33030,800000100000,1.0,2022-06-15,1.0,5,90000,0,0,1.0,0,1,77,5,0,0.9
388,32999,1500300100000,0.5,2022-07-22,1.0,0,30000,0,0,1.0,0,0,65,0,0,0.0
389,32999,1500300100000,0.6,2022-04-11,1.0,0,20000,0,1,1.0,0,1,77,1,0,0.0
390,32999,1500000100000,0.6,2022-06-20,1.0,5,40000,0,0,1.0,0,0,60,1,0,0.0
391,32846,900700000100,1.0,2022-12-09,1.0,0,15000,0,0,1.0,0,0,67,1,0,0.0
392,32846,900500000100,1.0,2022-01-13,1.0,2,40000,0,0,1.0,0,0,68,1,0,0.3
393,32403,3700000100000,1.0,2018-01-25,1.0,15,40000,1,1,1.0,1,1,88,3,1,0.5
394,32403,3700300100000,1.0,2022-06-17,1.0,9,70000,0,0,1.0,0,0,66,1,0,0.0
395,31859,500000000000,0.5,2022-03-05,1.0,0,300000,0,0,1.0,0,0,51,0,0,0.0
396,31859,500000000000,0.6,2022-07-25,1.0,0,40000,0,0,1.0,0,0,54,0,0,0.0
397,31859,500000100000,1.0,2022-02-14,0.8,7,80000,0,0,0.9,0,0,77,2,0,0.3
398,31859,500000000000,0.5,2022-06-20,1.0,0,15000,0,0,1.0,0,1,61,0,0,0.0
399,31859,500000000000,1.0,2021-12-22,1.0,3,50000,0,0,1.0,1,0,65,1,0,0.0
400,31859,501500001000,0.5,2022-06-15,1.0,0,25000,0,0,1.0,0,0,58,0,0,0.0
401,31859,500001000000,0.7,2023-02-27,1.0,0,15000,0,0,1.0,0,0,59,0,0,0.0
402,31859,500001000000,0.5,2023-02-20,1.0,0,40000,0,0,1.0,0,0,58,0,0,0.0
403,31859,501200006000,0.6,2022-09-23,1.0,0,35000,0,0,1.0,0,0,58,0,0,0.0
404,31859,500000100000,0.5,2022-02-01,1.0,0,35000,0,0,1.0,0,1,65,0,0,0.0
405,31712,700000100000,1.0,2021-10-11,1.0,9,32000,1,1,1.0,0,1,84,5,0,0.5
406,31712,700000100000,0.5,2022-06-27,1.0,3,20000,0,0,1.0,0,1,66,1,0,0.0
407,31362,600000300000,0.5,2022-08-24,1.0,0,50000,0,0,1.0,0,1,56,0,0,0.0
408,31362,600300001100,0.5,2022-07-18,1.0,0,45000,0,0,1.0,0,0,52,0,0,0.0
409,31362,600000000000,0.6,2021-12-24,1.0,0,20000,0,0,1.0,0,0,54,0,0,0.0
410,31362,600000000000,0.5,2022-02-02,1.0,3,350000,1,0,1.0,0,0,68,1,1,0.0
411,31291,2000000100000,1.0,2021-10-27,1.0,1,24998,0,0,1.0,0,0,66,1,0,0.0
412,31291,2000500100000,0.5,2022-06-01,1.0,0,24000,0,0,1.0,0,0,48,0,0,0.0
413,31291,2000000000000,0.5,2022-05-23,1.0,1,45000,0,0,1.0,0,0,53,1,0,0.0
414,31291,2000000200000,0.5,2022-01-11,1.0,0,30000,0,0,1.0,0,0,48,0,0,0.0
415,31291,2000000000000,0.5,2022-06-01,1.0,0,16000,0,0,1.0,0,0,47,0,0,0.0
416,31291,2000000100000,1.0,2022-05-06,1.0,2,70000,0,0,1.0,1,1,72,1,0,0.7
417,31291,2001000000100,0.5,2022-05-06,1.0,0,25000,0,0,1.0,0,0,64,0,0,0.0
418,31291,2000000000000,0.5,2021-10-11,1.0,0,12872,0,0,1.0,0,0,53,0,0,0.0
419,31291,2000000000000,0.6,2022-10-17,1.0,0,16000,0,0,1.0,0,1,55,0,0,0.0
420,31291,2000600000600,0.5,2022-08-04,1.0,0,25000,0,0,1.0,0,0,55,0,0,0.0
421,31291,2000000100000,1.0,2021-11-07,1.0,7,25000,0,0,1.0,1,1,99,1,1,0.0
422,31291,2000900000100,0.6,2021-11-11,1.0,0,25000,0,0,1.0,1,1,64,0,0,0.0
423,31291,2000500000600,0.5,2023-01-20,1.0,1,25000,0,0,1.0,0,1,67,1,0,0.0
424,31291,2000000000000,0.5,2022-05-30,0.8,1,15000,0,0,0.6,0,0,62,1,0,0.0
