,name
181,"(55.7823547, 49.1242266)"
182,"(55.7823547, 49.1242266)"
183,"(55.7823547, 49.1242266)"
184,"(55.7823547, 49.1242266)"
185,"(55.7823547, 49.1242266)"
186,"(55.7823547, 49.1242266)"
187,"(55.7823547, 49.1242266)"
188,"(55.7823547, 49.1242266)"
189,"(55.7419774, 52.399207)"
190,"(55.7419774, 52.399207)"
191,"(55.7419774, 52.399207)"
192,"(55.7419774, 52.399207)"
193,"(54.5384152, 52.7955953)"
194,"(54.9005008, 52.2963777)"
195,"(51.8357841, 107.5839105)"
196,"(59.199219, 37.148609)"
197,"(54.7677911, 42.2760267)"
198,"(54.1930321, 37.61754)"
199,"(54.1930321, 37.61754)"
200,"(53.124638, 38.10487)"
201,"(55.1598408, 61.4025547)"
202,"(55.1598408, 61.4025547)"
203,"(55.1598408, 61.4025547)"
204,"(55.1598408, 61.4025547)"
205,"(54.759121, 61.313198)"
206,"(54.759121, 61.313198)"
207,"(53.053261, 60.639172)"
208,"(54.045044, 61.74131)"
209,"(56.087009, 60.732674)"
210,"(55.76046, 60.705101)"
211,"(0, 0)"
212,"(55.1166534, 61.2652157)"
213,"(55.1674213, 59.6792625)"
214,"(52.4223974, 60.3372556)"
215,"(45.6123531, 38.9504299)"
216,"(45.72823, 39.013466)"
217,"(45.0352718, 38.9764814)"
218,"(45.0352718, 38.9764814)"
219,"(45.0352718, 38.9764814)"
220,"(45.0352718, 38.9764814)"
221,"(45.0352718, 38.9764814)"
222,"(45.0352718, 38.9764814)"
223,"(45.0352718, 38.9764814)"
224,"(45.0352718, 38.9764814)"
225,"(43.5854823, 39.723109)"
226,"(45.1044464, 38.6394832)"
227,"(44.8422046, 38.2954504)"
228,"(44.8851635, 40.5894674)"
229,"(0, 0)"
230,"(44.752217, 37.7264423)"
231,"(45.9778818, 39.3741812)"
232,"(56.0884031, 54.2478094)"
233,"(0, 0)"
234,"(0, 0)"
235,"(0, 0)"
236,"(0, 0)"
237,"(54.010342, 55.886463)"
238,"(53.632374, 55.952259)"
239,"(53.632374, 55.952259)"
240,"(55.490616, 54.863895)"
241,"(54.7261409, 55.947499)"
242,"(54.7261409, 55.947499)"
243,"(54.7261409, 55.947499)"
244,"(54.7261409, 55.947499)"
245,"(50.290527, 127.527161)"
246,"(55.182556, 58.155067)"
247,"(53.15538, 48.474121)"
248,"(53.099243, 49.948364)"
249,"(0, 0)"
250,"(0, 0)"
251,"(0, 0)"
252,"(53.198627, 50.113987)"
253,"(53.198627, 50.113987)"
254,"(53.198627, 50.113987)"
255,"(53.198627, 50.113987)"
256,"(53.198627, 50.113987)"
257,"(53.51495, 49.407574)"
258,"(53.51495, 49.407574)"
259,"(53.51495, 49.407574)"
260,"(45.5806221, 39.6574237)"
261,"(53.369938, 50.353645)"
262,"(46.3498308, 48.0326203)"
263,"(0, 0)"
264,"(51.298038, 37.833202)"
265,"(50.785236, 36.485428)"
266,"(0, 0)"
267,"(50.5955595, 36.5873394)"
268,"(51.283714, 37.53466)"
269,"(54.592144, 22.2015209)"
270,"(54.710128, 20.5105838)"
271,"(54.710128, 20.5105838)"
272,"(56.3264816, 44.0051395)"
273,"(56.3264816, 44.0051395)"
274,"(56.3264816, 44.0051395)"
275,"(56.149551, 44.198032)"
276,"(55.5522547, 45.9207853)"
277,"(0, 0)"
278,"(0, 0)"
279,"(55.821281, 45.031601)"
280,"(56.7367178, 38.8462714)"
281,"(57.3032827, 39.8537697)"
282,"(57.6263877, 39.8933705)"
283,"(54.6937577, 21.4763126)"
284,"(54.991375, 73.371529)"
285,"(54.991375, 73.371529)"
286,"(54.991375, 73.371529)"
287,"(54.991375, 73.371529)"
288,"(54.991375, 73.371529)"
289,"(55.156715, 72.699005)"
290,"(54.904892, 71.259987)"
291,"(55.870556, 72.196617)"
292,"(51.6605982, 39.2005858)"
293,"(51.6605982, 39.2005858)"
294,"(51.6605982, 39.2005858)"
295,"(51.368015, 42.075169)"
296,"(54.6295687, 39.7425039)"
297,"(54.6295687, 39.7425039)"
298,"(54.939693, 41.39518)"
299,"(53.8002966, 39.4141689)"
300,"(57.432545, 33.813171)"
301,"(52.4627538, 36.0508553)"
302,"(50.7495872, 86.1335256)"
303,"(56.477334, 53.8192957)"
304,"(56.866557, 53.2094166)"
305,"(56.866557, 53.2094166)"
306,"(54.665443, 86.166115)"
307,"(55.5738, 42.0447)"
308,"(47.2213858, 39.7114196)"
309,"(47.2213858, 39.7114196)"
310,"(47.2213858, 39.7114196)"
311,"(47.2213858, 39.7114196)"
312,"(47.2213858, 39.7114196)"
313,"(47.2213858, 39.7114196)"
314,"(47.2213858, 39.7114196)"
315,"(47.2213858, 39.7114196)"
316,"(47.411167, 42.764225)"
317,"(48.5359734, 42.5014974)"
318,"(48.612591, 41.642616)"
319,"(48.193871, 41.280865)"
320,"(50.0808422, 45.4048003)"
321,"(50.0808422, 45.4048003)"
